,District,Type,Count,Amount,Year,state
4255,fatehpur district,TOTAL,91877,111709304.13515945,2018,uttar-pradesh
4256,rae bareli district,TOTAL,127177,158305041.26429987,2018,uttar-pradesh
4257,firozabad district,TOTAL,114088,160137645.63129294,2018,uttar-pradesh
4258,kheri district,TOTAL,262715,195291344.67384815,2018,uttar-pradesh
4259,gorakhpur district,TOTAL,457691,790320803.9302533,2018,uttar-pradesh
4260,unnao district,TOTAL,118192,132227976.08123086,2018,uttar-pradesh
4261,prayagraj district,TOTAL,804712,1129002834.2139685,2018,uttar-pradesh
4262,sonbhadra district,TOTAL,190270,284465229.08754015,2018,uttar-pradesh
4263,ghazipur district,TOTAL,278757,408123160.1819992,2018,uttar-pradesh
4264,farrukhabad district,TOTAL,89984,108724200.77088036,2018,uttar-pradesh
4265,kannauj district,TOTAL,87933,101150185.51648593,2018,uttar-pradesh
4266,azamgarh district,TOTAL,298664,452365473.57583046,2018,uttar-pradesh
4267,ayodhya district,TOTAL,198523,235046658.5996612,2018,uttar-pradesh
4268,deoria district,TOTAL,268761,433812996.3339027,2018,uttar-pradesh
4269,ghaziabad district,TOTAL,1034409,1868838026.6123133,2018,uttar-pradesh
4270,amethi district,TOTAL,144079,202484697.00241584,2018,uttar-pradesh
4271,siddharthnagar district,TOTAL,148883,339236584.00437975,2018,uttar-pradesh
4272,auraiya district,TOTAL,145809,182207458.9869604,2018,uttar-pradesh
4273,sambhal district,TOTAL,78307,133958417.1214126,2018,uttar-pradesh
4274,kanpur nagar district,TOTAL,884952,1382466122.241844,2018,uttar-pradesh
4275,aligarh district,TOTAL,316159,530873059.5394554,2018,uttar-pradesh
4276,mahoba district,TOTAL,56821,84095676.13879824,2018,uttar-pradesh
4277,lucknow district,TOTAL,1745149,3120535504.084366,2018,uttar-pradesh
4278,sant kabeer nagar district,TOTAL,100614,189948864.11446124,2018,uttar-pradesh
4279,hathras district,TOTAL,85558,133404308.59101358,2018,uttar-pradesh
4280,budaun district,TOTAL,105307,144401979.61154318,2018,uttar-pradesh
4281,moradabad district,TOTAL,231048,455037106.1422169,2018,uttar-pradesh
4282,kushinagar district,TOTAL,396083,654056824.5641514,2018,uttar-pradesh
4283,baghpat district,TOTAL,96977,190530949.1887127,2018,uttar-pradesh
4284,shahjahanpur district,TOTAL,151448,193173048.73201945,2018,uttar-pradesh
4285,muzaffarnagar district,TOTAL,229535,383281532.98987913,2018,uttar-pradesh
4286,ambedkar nagar district,TOTAL,264890,269943413.3178917,2018,uttar-pradesh
4287,bahraich district,TOTAL,128822,200437178.42282724,2018,uttar-pradesh
4288,jalaun district,TOTAL,142558,169360197.0591228,2018,uttar-pradesh
4289,rampur district,TOTAL,370270,284977719.9281094,2018,uttar-pradesh
4290,ballia district,TOTAL,259630,453562948.30364865,2018,uttar-pradesh
4291,shravasti district,TOTAL,29870,46461398.64261969,2018,uttar-pradesh
4292,kasganj district,TOTAL,58678,94116514.83083017,2018,uttar-pradesh
4293,varanasi district,TOTAL,3305134,2367346800.1463585,2018,uttar-pradesh
4294,gautam buddha nagar district,TOTAL,3256802,4828673888.270048,2018,uttar-pradesh
4295,basti district,TOTAL,181572,311025777.26409966,2018,uttar-pradesh
4296,shamli district,TOTAL,78033,143916458.48132676,2018,uttar-pradesh
4297,maharajganj district,TOTAL,251326,393493251.5590672,2018,uttar-pradesh
4298,etawah district,TOTAL,132527,187885317.91935676,2018,uttar-pradesh
4299,etah district,TOTAL,66044,126687687.08381574,2018,uttar-pradesh
4300,banda district,TOTAL,100068,124786815.22224602,2018,uttar-pradesh
4301,bijnor district,TOTAL,204728,369345535.9915008,2018,uttar-pradesh
4302,hardoi district,TOTAL,142922,195783949.2378096,2018,uttar-pradesh
4303,balrampur district,TOTAL,66029,134378011.19343144,2018,uttar-pradesh
4304,amroha district,TOTAL,100455,183940278.8866452,2018,uttar-pradesh
4305,pilibhit district,TOTAL,127083,141466796.26969764,2018,uttar-pradesh
4306,mainpuri district,TOTAL,132863,163732822.42209786,2018,uttar-pradesh
4307,kanpur dehat district,TOTAL,80659,128327549.52937222,2018,uttar-pradesh
4308,jaunpur district,TOTAL,381719,618303349.8107088,2018,uttar-pradesh
4309,kaushambi district,TOTAL,51040,72407851.83838873,2018,uttar-pradesh
4310,hapur district,TOTAL,135845,256753552.1045843,2018,uttar-pradesh
4311,hamirpur district,TOTAL,95140,105996112.71759164,2018,uttar-pradesh
4312,meerut district,TOTAL,439181,914592154.1711264,2018,uttar-pradesh
4313,mathura district,TOTAL,254457,497189255.17567295,2018,uttar-pradesh
4314,chitrakoot district,TOTAL,43872,66070986.60201372,2018,uttar-pradesh
4315,lalitpur district,TOTAL,84832,117829673.63676032,2018,uttar-pradesh
4316,mau district,TOTAL,174181,224554612.28490758,2018,uttar-pradesh
4317,mirzapur district,TOTAL,193581,235891741.50021005,2018,uttar-pradesh
4318,bulandshahr district,TOTAL,219961,384710306.2707491,2018,uttar-pradesh
4319,gonda district,TOTAL,180955,359187670.54018164,2018,uttar-pradesh
4320,jhansi district,TOTAL,305260,532106857.59149486,2018,uttar-pradesh
4321,chandauli district,TOTAL,286920,296736052.73655057,2018,uttar-pradesh
4322,bhadohi district,TOTAL,144640,193754417.68330258,2018,uttar-pradesh
4323,pratapgarh district,TOTAL,192406,256607675.7948947,2018,uttar-pradesh
4324,saharanpur district,TOTAL,291298,475751601.7841493,2018,uttar-pradesh
4325,bara banki district,TOTAL,165404,221289109.21528998,2018,uttar-pradesh
4326,bareilly district,TOTAL,530401,701813397.931004,2018,uttar-pradesh
4327,sitapur district,TOTAL,1244942,657116597.5883418,2018,uttar-pradesh
4328,sultanpur district,TOTAL,178628,264719605.61577424,2018,uttar-pradesh
4329,agra district,TOTAL,491708,934001805.3935691,2018,uttar-pradesh
4330,fatehpur district,TOTAL,121093,158496730.93156183,2018,uttar-pradesh
4331,rae bareli district,TOTAL,161980,219331961.49682626,2018,uttar-pradesh
4332,firozabad district,TOTAL,123057,222644453.9797347,2018,uttar-pradesh
4333,kheri district,TOTAL,588144,407114607.5597075,2018,uttar-pradesh
4334,gorakhpur district,TOTAL,589891,1060239355.7696368,2018,uttar-pradesh
4335,unnao district,TOTAL,135326,179580331.29400557,2018,uttar-pradesh
4336,prayagraj district,TOTAL,1091032,1590288136.836483,2018,uttar-pradesh
4337,sonbhadra district,TOTAL,233627,390785529.4547806,2018,uttar-pradesh
4338,ghazipur district,TOTAL,300379,479779397.3242098,2018,uttar-pradesh
4339,farrukhabad district,TOTAL,103556,151319932.08823365,2018,uttar-pradesh
4340,kannauj district,TOTAL,186578,177809589.23503107,2018,uttar-pradesh
4341,azamgarh district,TOTAL,307862,510111894.95135725,2018,uttar-pradesh
4342,ayodhya district,TOTAL,241948,328434663.6060386,2018,uttar-pradesh
4343,deoria district,TOTAL,309790,495910058.96542025,2018,uttar-pradesh
4344,ghaziabad district,TOTAL,1537030,2613540894.7239933,2018,uttar-pradesh
4345,amethi district,TOTAL,217755,320216703.9976958,2018,uttar-pradesh
4346,siddharthnagar district,TOTAL,224522,554110285.7995359,2018,uttar-pradesh
4347,auraiya district,TOTAL,172120,238641495.17246974,2018,uttar-pradesh
4348,sambhal district,TOTAL,125436,221153042.97730047,2018,uttar-pradesh
4349,kanpur nagar district,TOTAL,1254123,2045066575.82861,2018,uttar-pradesh
4350,aligarh district,TOTAL,447620,797646145.1770936,2018,uttar-pradesh
4351,mahoba district,TOTAL,71696,120548654.54538429,2018,uttar-pradesh
4352,lucknow district,TOTAL,2611582,4678614438.94069,2018,uttar-pradesh
4353,sant kabeer nagar district,TOTAL,161784,341396174.60754293,2018,uttar-pradesh
4354,hathras district,TOTAL,119900,215138949.07355016,2018,uttar-pradesh
4355,budaun district,TOTAL,158573,223748130.0860489,2018,uttar-pradesh
4356,moradabad district,TOTAL,347253,721241786.7206835,2018,uttar-pradesh
4357,kushinagar district,TOTAL,643682,1037935617.0609084,2018,uttar-pradesh
4358,baghpat district,TOTAL,165081,348857994.00375867,2018,uttar-pradesh
4359,shahjahanpur district,TOTAL,219554,305588308.9615815,2018,uttar-pradesh
4360,muzaffarnagar district,TOTAL,312409,597648868.0445137,2018,uttar-pradesh
4361,ambedkar nagar district,TOTAL,288963,375100390.9851628,2018,uttar-pradesh
4362,bahraich district,TOTAL,191449,312572457.47311395,2018,uttar-pradesh
4363,jalaun district,TOTAL,199122,260511686.58375,2018,uttar-pradesh
4364,rampur district,TOTAL,230817,294450956.40007424,2018,uttar-pradesh
4365,ballia district,TOTAL,419084,772748973.4912162,2018,uttar-pradesh
4366,shravasti district,TOTAL,54867,85494014.91305166,2018,uttar-pradesh
4367,kasganj district,TOTAL,87216,133261923.76046038,2018,uttar-pradesh
4368,varanasi district,TOTAL,1806800,2082572099.2679353,2018,uttar-pradesh
4369,gautam buddha nagar district,TOTAL,6083056,7483532543.63562,2018,uttar-pradesh
4370,basti district,TOTAL,312025,557770598.2115663,2018,uttar-pradesh
4371,shamli district,TOTAL,116324,249652750.04554063,2018,uttar-pradesh
4372,maharajganj district,TOTAL,374480,564684784.3314693,2018,uttar-pradesh
4373,etawah district,TOTAL,174001,301410901.27215564,2018,uttar-pradesh
4374,etah district,TOTAL,102642,197160950.42546722,2018,uttar-pradesh
4375,banda district,TOTAL,123768,158276578.0289125,2018,uttar-pradesh
4376,bijnor district,TOTAL,314498,560149244.8589183,2018,uttar-pradesh
4377,hardoi district,TOTAL,203874,300642408.61626077,2018,uttar-pradesh
4378,balrampur district,TOTAL,102204,240528458.28625107,2018,uttar-pradesh
4379,amroha district,TOTAL,170297,296873597.0146003,2018,uttar-pradesh
4380,pilibhit district,TOTAL,281104,223932379.9095542,2018,uttar-pradesh
4381,mainpuri district,TOTAL,158673,234152214.9360185,2018,uttar-pradesh
4382,kanpur dehat district,TOTAL,125159,215093100.8179539,2018,uttar-pradesh
4383,jaunpur district,TOTAL,578939,990610806.4562361,2018,uttar-pradesh
4384,kaushambi district,TOTAL,74106,117825844.90465787,2018,uttar-pradesh
4385,hapur district,TOTAL,241731,427896591.4985336,2018,uttar-pradesh
4386,hamirpur district,TOTAL,118516,150158878.3408767,2018,uttar-pradesh
4387,meerut district,TOTAL,700099,1476906079.0968897,2018,uttar-pradesh
4388,mathura district,TOTAL,396421,786701504.3756256,2018,uttar-pradesh
4389,chitrakoot district,TOTAL,65737,105741742.85271648,2018,uttar-pradesh
4390,lalitpur district,TOTAL,233847,186282846.30377722,2018,uttar-pradesh
4391,mau district,TOTAL,274518,390625308.9627446,2018,uttar-pradesh
4392,mirzapur district,TOTAL,292253,385922043.77289444,2018,uttar-pradesh
4393,bulandshahr district,TOTAL,342458,656793599.595126,2018,uttar-pradesh
4394,gonda district,TOTAL,274306,571261715.108981,2018,uttar-pradesh
4395,jhansi district,TOTAL,470280,822983950.2096269,2018,uttar-pradesh
4396,chandauli district,TOTAL,283080,391660402.92732894,2018,uttar-pradesh
4397,bhadohi district,TOTAL,194370,290705297.72941494,2018,uttar-pradesh
4398,pratapgarh district,TOTAL,273497,434763115.1752979,2018,uttar-pradesh
4399,saharanpur district,TOTAL,473870,763724835.5837415,2018,uttar-pradesh
4400,bara banki district,TOTAL,257423,350083111.55564934,2018,uttar-pradesh
4401,bareilly district,TOTAL,797506,1011406319.216877,2018,uttar-pradesh
4402,sitapur district,TOTAL,427785,367045918.21577764,2018,uttar-pradesh
4403,sultanpur district,TOTAL,292592,423080891.21484375,2018,uttar-pradesh
4404,agra district,TOTAL,705927,1401083560.6623816,2018,uttar-pradesh
4405,fatehpur district,TOTAL,166912,251177436.13282135,2018,uttar-pradesh
4406,rae bareli district,TOTAL,234605,360317857.23215294,2018,uttar-pradesh
4407,firozabad district,TOTAL,192346,353962131.81579304,2018,uttar-pradesh
4408,kheri district,TOTAL,470761,442391136.20100224,2018,uttar-pradesh
4409,gorakhpur district,TOTAL,879250,1682899421.8564157,2018,uttar-pradesh
4410,unnao district,TOTAL,209580,298283495.6356672,2018,uttar-pradesh
4411,prayagraj district,TOTAL,1603709,2373886785.8107786,2018,uttar-pradesh
4412,sonbhadra district,TOTAL,333564,573280272.4264697,2018,uttar-pradesh
4413,ghazipur district,TOTAL,482849,822620900.3065906,2018,uttar-pradesh
4414,farrukhabad district,TOTAL,172603,251542901.8751523,2018,uttar-pradesh
4415,kannauj district,TOTAL,178947,223722716.63191634,2018,uttar-pradesh
4416,azamgarh district,TOTAL,490180,837418335.3507676,2018,uttar-pradesh
4417,ayodhya district,TOTAL,385089,531445205.48784745,2018,uttar-pradesh
4418,deoria district,TOTAL,465824,804626102.8561076,2018,uttar-pradesh
4419,ghaziabad district,TOTAL,2891774,4117778328.278023,2018,uttar-pradesh
4420,amethi district,TOTAL,326845,421547862.21643007,2019,uttar-pradesh
4421,siddharthnagar district,TOTAL,302351,671054381.4997554,2019,uttar-pradesh
4422,auraiya district,TOTAL,207711,294870219.1369581,2019,uttar-pradesh
4423,sambhal district,TOTAL,167634,306890452.214322,2019,uttar-pradesh
4424,kanpur nagar district,TOTAL,2045370,2882041800.6601443,2019,uttar-pradesh
4425,aligarh district,TOTAL,616388,1034079162.0896344,2019,uttar-pradesh
4426,mahoba district,TOTAL,104306,143934422.22559807,2019,uttar-pradesh
4427,lucknow district,TOTAL,6724967,10007890617.082235,2019,uttar-pradesh
4428,sant kabeer nagar district,TOTAL,239347,462726217.58538276,2019,uttar-pradesh
4429,hathras district,TOTAL,174304,273821973.13173586,2019,uttar-pradesh
4430,budaun district,TOTAL,231747,313629446.05128956,2019,uttar-pradesh
4431,moradabad district,TOTAL,454392,905856097.7504036,2019,uttar-pradesh
4432,kushinagar district,TOTAL,1000902,1473390210.6098776,2019,uttar-pradesh
4433,baghpat district,TOTAL,249381,454044345.6599624,2019,uttar-pradesh
4434,shahjahanpur district,TOTAL,337264,406695935.7601104,2019,uttar-pradesh
4435,muzaffarnagar district,TOTAL,431271,786587840.046669,2019,uttar-pradesh
4436,ambedkar nagar district,TOTAL,465210,515880244.4764167,2019,uttar-pradesh
4437,bahraich district,TOTAL,248172,407089053.6966136,2019,uttar-pradesh
4438,jalaun district,TOTAL,252004,330609423.26976085,2019,uttar-pradesh
4439,rampur district,TOTAL,321906,401776328.21130365,2019,uttar-pradesh
4440,ballia district,TOTAL,659104,973228100.1421771,2019,uttar-pradesh
4441,shravasti district,TOTAL,70553,100068299.13101007,2019,uttar-pradesh
4442,kasganj district,TOTAL,123238,167843222.54848066,2019,uttar-pradesh
4443,varanasi district,TOTAL,2290282,2681050295.126403,2019,uttar-pradesh
4444,gautam buddha nagar district,TOTAL,10750094,10286434896.546099,2019,uttar-pradesh
4445,basti district,TOTAL,419396,772444094.9342802,2019,uttar-pradesh
4446,shamli district,TOTAL,160929,331584594.9941297,2019,uttar-pradesh
4447,maharajganj district,TOTAL,465056,735422361.1177148,2019,uttar-pradesh
4448,etawah district,TOTAL,259857,358358492.18644714,2019,uttar-pradesh
4449,etah district,TOTAL,141351,241505950.47302642,2019,uttar-pradesh
4450,banda district,TOTAL,203200,232838601.5668059,2019,uttar-pradesh
4451,bijnor district,TOTAL,445813,719664027.4644611,2019,uttar-pradesh
4452,hardoi district,TOTAL,290787,390884434.75340426,2019,uttar-pradesh
4453,balrampur district,TOTAL,131087,301914168.12572217,2019,uttar-pradesh
4454,amroha district,TOTAL,236538,416822133.8550206,2019,uttar-pradesh
4455,pilibhit district,TOTAL,351018,308217258.4205318,2019,uttar-pradesh
4456,mainpuri district,TOTAL,195238,281450804.75064,2019,uttar-pradesh
4457,kanpur dehat district,TOTAL,179306,271700353.33018994,2019,uttar-pradesh
4458,jaunpur district,TOTAL,840405,1184712382.0874712,2019,uttar-pradesh
4459,kaushambi district,TOTAL,110359,163354770.4238072,2019,uttar-pradesh
4460,hapur district,TOTAL,398797,587354810.1770575,2019,uttar-pradesh
4461,hamirpur district,TOTAL,155579,181681066.41100046,2019,uttar-pradesh
4462,meerut district,TOTAL,1120213,1863635814.4861012,2019,uttar-pradesh
4463,mathura district,TOTAL,594162,1014279623.4310343,2019,uttar-pradesh
4464,chitrakoot district,TOTAL,97299,143373050.38522738,2019,uttar-pradesh
4465,lalitpur district,TOTAL,253422,253074203.76345152,2019,uttar-pradesh
4466,mau district,TOTAL,353323,465619289.25446576,2019,uttar-pradesh
4467,mirzapur district,TOTAL,420967,514406789.9841273,2019,uttar-pradesh
4468,bulandshahr district,TOTAL,543452,895119004.8359941,2019,uttar-pradesh
4469,gonda district,TOTAL,351503,727849032.2573541,2019,uttar-pradesh
4470,jhansi district,TOTAL,714029,1067602094.8140204,2019,uttar-pradesh
4471,chandauli district,TOTAL,415199,499557403.3362822,2019,uttar-pradesh
4472,bhadohi district,TOTAL,320769,372400427.5067629,2019,uttar-pradesh
4473,pratapgarh district,TOTAL,397166,572695934.4218535,2019,uttar-pradesh
4474,saharanpur district,TOTAL,656076,1000734203.096807,2019,uttar-pradesh
4475,bara banki district,TOTAL,364428,450678161.5987823,2019,uttar-pradesh
4476,bareilly district,TOTAL,1150731,1325492844.7851303,2019,uttar-pradesh
4477,sitapur district,TOTAL,473527,457965021.4121072,2019,uttar-pradesh
4478,sultanpur district,TOTAL,499375,610606915.5462227,2019,uttar-pradesh
4479,agra district,TOTAL,1055850,1798577433.7026842,2019,uttar-pradesh
4480,fatehpur district,TOTAL,226784,316452146.79670477,2019,uttar-pradesh
4481,rae bareli district,TOTAL,312361,443410196.1237717,2019,uttar-pradesh
4482,firozabad district,TOTAL,265828,461030301.08055127,2019,uttar-pradesh
4483,kheri district,TOTAL,615443,548415887.9106755,2019,uttar-pradesh
4484,gorakhpur district,TOTAL,1266510,2149018597.784897,2019,uttar-pradesh
4485,unnao district,TOTAL,266970,377760951.7721302,2019,uttar-pradesh
4486,prayagraj district,TOTAL,2524007,3328073518.103963,2019,uttar-pradesh
4487,sonbhadra district,TOTAL,512752,724325762.6327823,2019,uttar-pradesh
4488,ghazipur district,TOTAL,739327,957958166.4289242,2019,uttar-pradesh
4489,farrukhabad district,TOTAL,197121,298981837.0585528,2019,uttar-pradesh
4490,kannauj district,TOTAL,203044,263647855.21869558,2019,uttar-pradesh
4491,azamgarh district,TOTAL,695137,1026685594.7636292,2019,uttar-pradesh
4492,ayodhya district,TOTAL,580371,733819037.5827813,2019,uttar-pradesh
4493,deoria district,TOTAL,753335,1046211029.9793364,2019,uttar-pradesh
4494,ghaziabad district,TOTAL,4604564,5631770850.217073,2019,uttar-pradesh
4495,amethi district,TOTAL,266904,451554167.6923269,2019,uttar-pradesh
4496,siddharthnagar district,TOTAL,310255,894965280.8870137,2019,uttar-pradesh
4497,auraiya district,TOTAL,187035,355103136.4210352,2019,uttar-pradesh
4498,sambhal district,TOTAL,140505,332684806.1640546,2019,uttar-pradesh
4499,kanpur nagar district,TOTAL,2572884,4421750497.07041,2019,uttar-pradesh
4500,aligarh district,TOTAL,636744,1206838766.035463,2019,uttar-pradesh
4501,mahoba district,TOTAL,88311,176742462.52018404,2019,uttar-pradesh
4502,lucknow district,TOTAL,12624404,22426462674.94428,2019,uttar-pradesh
4503,sant kabeer nagar district,TOTAL,235516,592340368.2448161,2019,uttar-pradesh
4504,hathras district,TOTAL,165078,315837612.6668841,2019,uttar-pradesh
4505,budaun district,TOTAL,192308,352038721.46108484,2019,uttar-pradesh
4506,moradabad district,TOTAL,408045,957026959.7072669,2019,uttar-pradesh
4507,kushinagar district,TOTAL,791535,1682457442.3442822,2019,uttar-pradesh
4508,baghpat district,TOTAL,230331,500645573.63814473,2019,uttar-pradesh
4509,shahjahanpur district,TOTAL,263493,445041438.19809544,2019,uttar-pradesh
4510,muzaffarnagar district,TOTAL,376962,826260658.1173649,2019,uttar-pradesh
4511,ambedkar nagar district,TOTAL,368546,581590905.8951519,2019,uttar-pradesh
4512,bahraich district,TOTAL,219659,479908955.7090823,2019,uttar-pradesh
4513,jalaun district,TOTAL,211738,402494738.83459663,2019,uttar-pradesh
4514,rampur district,TOTAL,228551,422959618.6737788,2019,uttar-pradesh
4515,ballia district,TOTAL,547294,1035719450.4146695,2019,uttar-pradesh
4516,shravasti district,TOTAL,59054,113684795.79887383,2019,uttar-pradesh
4517,kasganj district,TOTAL,111076,193472365.375418,2019,uttar-pradesh
4518,varanasi district,TOTAL,2098693,3382380917.5993013,2019,uttar-pradesh
4519,gautam buddha nagar district,TOTAL,9667218,10716810453.722048,2019,uttar-pradesh
4520,basti district,TOTAL,389946,927574165.0597105,2019,uttar-pradesh
4521,shamli district,TOTAL,155157,364131458.5697053,2019,uttar-pradesh
4522,maharajganj district,TOTAL,478890,876340120.0847826,2019,uttar-pradesh
4523,etawah district,TOTAL,215576,403035193.20454574,2019,uttar-pradesh
4524,etah district,TOTAL,138846,280149577.1676371,2019,uttar-pradesh
4525,banda district,TOTAL,157420,254375614.87611157,2019,uttar-pradesh
4526,bijnor district,TOTAL,379866,784443552.2939653,2019,uttar-pradesh
4527,hardoi district,TOTAL,259447,411747383.496356,2019,uttar-pradesh
4528,balrampur district,TOTAL,146778,439935664.9954252,2019,uttar-pradesh
4529,amroha district,TOTAL,206435,455744026.94157046,2019,uttar-pradesh
4530,pilibhit district,TOTAL,236078,310108647.3499657,2019,uttar-pradesh
4531,mainpuri district,TOTAL,197750,323456005.6560243,2019,uttar-pradesh
4532,kanpur dehat district,TOTAL,165783,319748875.88976467,2019,uttar-pradesh
4533,jaunpur district,TOTAL,786691,1547948139.9351149,2019,uttar-pradesh
4534,kaushambi district,TOTAL,97533,181710683.35481194,2019,uttar-pradesh
4535,hapur district,TOTAL,330314,596535269.5005661,2019,uttar-pradesh
4536,hamirpur district,TOTAL,130925,239592146.05533352,2019,uttar-pradesh
4537,meerut district,TOTAL,1123899,2212165528.988115,2019,uttar-pradesh
4538,mathura district,TOTAL,610141,1213007841.9239175,2019,uttar-pradesh
4539,chitrakoot district,TOTAL,83083,159972561.27380335,2019,uttar-pradesh
4540,lalitpur district,TOTAL,185877,299432267.8582648,2019,uttar-pradesh
4541,mau district,TOTAL,308586,541874420.758134,2019,uttar-pradesh
4542,mirzapur district,TOTAL,338746,595094512.5136702,2019,uttar-pradesh
4543,bulandshahr district,TOTAL,498918,1017739201.5246234,2019,uttar-pradesh
4544,gonda district,TOTAL,335254,922942819.2342424,2019,uttar-pradesh
4545,jhansi district,TOTAL,628279,1234386137.5550594,2019,uttar-pradesh
4546,chandauli district,TOTAL,331329,538498073.4868242,2019,uttar-pradesh
4547,bhadohi district,TOTAL,250504,411685597.86702055,2019,uttar-pradesh
4548,pratapgarh district,TOTAL,362782,673178075.8116037,2019,uttar-pradesh
4549,saharanpur district,TOTAL,609666,1197548161.8863935,2019,uttar-pradesh
4550,bara banki district,TOTAL,318729,502225831.0034278,2019,uttar-pradesh
4551,bareilly district,TOTAL,893059,1444372593.85735,2019,uttar-pradesh
4552,sitapur district,TOTAL,363567,513060347.75399524,2019,uttar-pradesh
4553,sultanpur district,TOTAL,381974,668113450.638437,2019,uttar-pradesh
4554,agra district,TOTAL,1094456,2048417269.886173,2019,uttar-pradesh
4555,fatehpur district,TOTAL,188877,356762072.1709555,2019,uttar-pradesh
4556,rae bareli district,TOTAL,273258,476603525.16169524,2019,uttar-pradesh
4557,firozabad district,TOTAL,279459,530230873.49751854,2019,uttar-pradesh
4558,kheri district,TOTAL,416412,569150953.1782918,2019,uttar-pradesh
4559,gorakhpur district,TOTAL,1168931,2516446619.5934477,2019,uttar-pradesh
4560,unnao district,TOTAL,260465,436025008.4026351,2019,uttar-pradesh
4561,prayagraj district,TOTAL,2300600,3610973840.451373,2019,uttar-pradesh
4562,sonbhadra district,TOTAL,383509,758680516.998383,2019,uttar-pradesh
4563,ghazipur district,TOTAL,616075,1140075904.2154357,2019,uttar-pradesh
4564,farrukhabad district,TOTAL,188426,349337598.8037064,2019,uttar-pradesh
4565,kannauj district,TOTAL,205350,280784087.0344801,2019,uttar-pradesh
4566,azamgarh district,TOTAL,643099,1270821808.341103,2019,uttar-pradesh
4567,ayodhya district,TOTAL,443014,791220563.4340049,2019,uttar-pradesh
4568,deoria district,TOTAL,642443,1284414150.0011582,2019,uttar-pradesh
4569,ghaziabad district,TOTAL,4679159,6368927863.001434,2019,uttar-pradesh
4570,amethi district,TOTAL,274229,457961949.52611804,2019,uttar-pradesh
4571,siddharthnagar district,TOTAL,320825,822517503.3363535,2019,uttar-pradesh
4572,auraiya district,TOTAL,208407,374218862.8394393,2019,uttar-pradesh
4573,sambhal district,TOTAL,173100,360822673.86408234,2019,uttar-pradesh
4574,kanpur nagar district,TOTAL,3032525,5151875480.314058,2019,uttar-pradesh
4575,aligarh district,TOTAL,963300,1512844915.5855925,2019,uttar-pradesh
4576,mahoba district,TOTAL,95118,167837750.89316642,2019,uttar-pradesh
4577,lucknow district,TOTAL,11708246,24465158674.661304,2019,uttar-pradesh
4578,sant kabeer nagar district,TOTAL,239631,570593147.8701537,2019,uttar-pradesh
4579,hathras district,TOTAL,225830,378558205.78767884,2019,uttar-pradesh
4580,budaun district,TOTAL,217390,385248376.4059906,2019,uttar-pradesh
4581,moradabad district,TOTAL,513828,1093980088.221823,2019,uttar-pradesh
4582,kushinagar district,TOTAL,730646,1556135072.2857654,2019,uttar-pradesh
4583,baghpat district,TOTAL,309849,587767966.4803164,2019,uttar-pradesh
4584,shahjahanpur district,TOTAL,304259,488337410.633788,2019,uttar-pradesh
4585,muzaffarnagar district,TOTAL,525482,954690286.8280857,2019,uttar-pradesh
4586,ambedkar nagar district,TOTAL,360610,547859948.7740917,2019,uttar-pradesh
4587,bahraich district,TOTAL,240440,493719209.30518043,2019,uttar-pradesh
4588,jalaun district,TOTAL,239290,412494066.11994874,2019,uttar-pradesh
4589,rampur district,TOTAL,250113,456757637.63550186,2019,uttar-pradesh
4590,ballia district,TOTAL,518281,968560613.0861282,2019,uttar-pradesh
4591,shravasti district,TOTAL,61489,129370284.58139008,2019,uttar-pradesh
4592,kasganj district,TOTAL,146757,235440734.30770737,2019,uttar-pradesh
4593,varanasi district,TOTAL,2441735,3772442225.290722,2019,uttar-pradesh
4594,gautam buddha nagar district,TOTAL,13014875,14118512957.85155,2019,uttar-pradesh
4595,basti district,TOTAL,391016,868207697.9016688,2019,uttar-pradesh
4596,shamli district,TOTAL,203262,421501852.8137667,2019,uttar-pradesh
4597,maharajganj district,TOTAL,448750,875745254.4863498,2019,uttar-pradesh
4598,etawah district,TOTAL,264749,453498410.9431795,2019,uttar-pradesh
4599,etah district,TOTAL,186724,347473162.39204526,2019,uttar-pradesh
4600,banda district,TOTAL,156394,256980642.8669443,2019,uttar-pradesh
4601,bijnor district,TOTAL,465326,901149609.6450592,2019,uttar-pradesh
4602,hardoi district,TOTAL,290466,435214416.9028206,2019,uttar-pradesh
4603,balrampur district,TOTAL,169421,416338758.89187086,2019,uttar-pradesh
4604,amroha district,TOTAL,240249,523523675.31063884,2019,uttar-pradesh
4605,pilibhit district,TOTAL,226742,334286741.4373876,2019,uttar-pradesh
4606,mainpuri district,TOTAL,237130,380174278.0983307,2019,uttar-pradesh
4607,kanpur dehat district,TOTAL,195248,360771147.71278274,2019,uttar-pradesh
4608,jaunpur district,TOTAL,757706,1333195631.6065032,2019,uttar-pradesh
4609,kaushambi district,TOTAL,123627,197365010.48765758,2019,uttar-pradesh
4610,hapur district,TOTAL,426387,711823379.7560599,2019,uttar-pradesh
4611,hamirpur district,TOTAL,141816,232540669.92897475,2019,uttar-pradesh
4612,meerut district,TOTAL,1429176,2615800654.5366073,2019,uttar-pradesh
4613,mathura district,TOTAL,860755,1539891481.5430467,2019,uttar-pradesh
4614,chitrakoot district,TOTAL,92093,170002948.8446023,2019,uttar-pradesh
4615,lalitpur district,TOTAL,200629,320830007.8896627,2019,uttar-pradesh
