,Data From,Data To,Name,Type,Count,Amount,Year,Quater
58,1601490600000,1609093800000,Financial Services,TOTAL,2942567,3259168195.749941,2020,Q4
59,1601490600000,1609093800000,Others,TOTAL,9556404,5323095366.309718,2020,Q4
60,1609439400000,1616869800000,Merchant payments,TOTAL,1467948823,844466633896.8679,2021,Q1
61,1609439400000,1616869800000,Peer-to-peer payments,TOTAL,1447600942,5170856441552.582,2021,Q1
62,1609439400000,1616869800000,Recharge & bill payments,TOTAL,530118545,260182440730.4327,2021,Q1
63,1609439400000,1616869800000,Financial Services,TOTAL,3075296,3573884778.5300817,2021,Q1
64,1609439400000,1616869800000,Others,TOTAL,8851525,5199901891.8900385,2021,Q1
65,1617215400000,1624818600000,Peer-to-peer payments,TOTAL,1744272888,6163165772736.494,2021,Q2
66,1617215400000,1624818600000,Merchant payments,TOTAL,1499626469,1003530942287.5988,2021,Q2
67,1617215400000,1624818600000,Recharge & bill payments,TOTAL,685024821,300559461295.9022,2021,Q2
68,1617215400000,1624818600000,Financial Services,TOTAL,3397384,3651996523.4499955,2021,Q2
69,1617215400000,1624818600000,Others,TOTAL,9061732,5598131364.820071,2021,Q2
70,1625077800000,1632767400000,Merchant payments,TOTAL,2316924871,1426965558783.5557,2021,Q3
71,1625077800000,1632767400000,Peer-to-peer payments,TOTAL,2215575286,7429357587018.912,2021,Q3
72,1625077800000,1632767400000,Recharge & bill payments,TOTAL,714583744,349234592690.4992,2021,Q3
73,1625077800000,1632767400000,Financial Services,TOTAL,3112160,4043342762.3300233,2021,Q3
74,1625077800000,1632767400000,Others,TOTAL,13558464,7146868847.2897215,2021,Q3
75,1633026600000,1640629800000,Merchant payments,TOTAL,3152394530,1995855822160.6426,2021,Q4
76,1633026600000,1640629800000,Peer-to-peer payments,TOTAL,2716561423,9203910371491.78,2021,Q4
77,1633026600000,1640629800000,Recharge & bill payments,TOTAL,738096162,407266894783.10693,2021,Q4
78,1633026600000,1640629800000,Financial Services,TOTAL,4141629,5028434834.240034,2021,Q4
79,1633026600000,1640629800000,Others,TOTAL,14562602,9296993478.869577,2021,Q4
80,1640975400000,1648405800000,Merchant payments,TOTAL,3748851071,2272818129376.5205,2022,Q1
81,1640975400000,1648405800000,Peer-to-peer payments,TOTAL,3074250150,10505936803336.926,2022,Q1
82,1640975400000,1648405800000,Recharge & bill payments,TOTAL,749674246,447599848131.41187,2022,Q1
83,1640975400000,1648405800000,Financial Services,TOTAL,4035100,4921211866.489969,2022,Q1
84,1640975400000,1648405800000,Others,TOTAL,16393502,8422766458.459174,2022,Q1
85,1648751400000,1656354600000,Merchant payments,TOTAL,4765203787,2847096877386.341,2022,Q2
86,1648751400000,1656354600000,Peer-to-peer payments,TOTAL,3506141323,12123524700463.535,2022,Q2
87,1648751400000,1656354600000,Recharge & bill payments,TOTAL,845751926,523046092987.93964,2022,Q2
88,1648751400000,1656354600000,Financial Services,TOTAL,3272822,3889787479.819907,2022,Q2
89,1648751400000,1656354600000,Others,TOTAL,11241480,6711034131.16017,2022,Q2
90,1656613800000,1664303400000,Merchant payments,TOTAL,5618132071,3151614767860.314,2022,Q3
91,1656613800000,1664303400000,Peer-to-peer payments,TOTAL,3957113406,12837803371386.29,2022,Q3
92,1656613800000,1664303400000,Recharge & bill payments,TOTAL,956164949,607048699730.3645,2022,Q3
93,1656613800000,1664303400000,Financial Services,TOTAL,3959631,4514223164.469998,2022,Q3
94,1656613800000,1664303400000,Others,TOTAL,10005043,6725900102.770244,2022,Q3
95,1664562600000,1672165800000,Merchant payments,TOTAL,6565690145,3673601044800.037,2022,Q4
96,1664562600000,1672165800000,Peer-to-peer payments,TOTAL,4459859921,14578874324207.227,2022,Q4
97,1664562600000,1672165800000,Recharge & bill payments,TOTAL,991049281,649776847580.25,2022,Q4
98,1664562600000,1672165800000,Financial Services,TOTAL,4623387,5360528394.309982,2022,Q4
99,1664562600000,1672165800000,Others,TOTAL,10013085,7361492606.590162,2022,Q4
