,District,Pincode,No of Registered User,Year,state,Quater
187,null,194401,5862,2021,ladakh,Q4
188,null,194102,4093,2021,ladakh,Q4
189,null,194105,3639,2021,ladakh,Q4
190,null,194106,2420,2021,ladakh,Q4
191,null,194109,2397,2021,ladakh,Q4
192,leh ladakh,0,71173,2022,ladakh,Q1
193,kargil,0,21319,2022,ladakh,Q1
194,null,194104,20154,2022,ladakh,Q1
195,null,194101,17877,2022,ladakh,Q1
196,null,194201,14135,2022,ladakh,Q1
197,null,194103,7324,2022,ladakh,Q1
198,null,194107,6632,2022,ladakh,Q1
199,null,194401,6231,2022,ladakh,Q1
200,null,194102,4370,2022,ladakh,Q1
201,null,194105,3888,2022,ladakh,Q1
202,null,194106,2563,2022,ladakh,Q1
203,null,194109,2545,2022,ladakh,Q1
204,leh ladakh,0,75042,2022,ladakh,Q2
205,kargil,0,22475,2022,ladakh,Q2
206,null,194104,21222,2022,ladakh,Q2
207,null,194101,18842,2022,ladakh,Q2
208,null,194201,14911,2022,ladakh,Q2
209,null,194103,7729,2022,ladakh,Q2
210,null,194107,7006,2022,ladakh,Q2
211,null,194401,6571,2022,ladakh,Q2
212,null,194102,4602,2022,ladakh,Q2
213,null,194105,4102,2022,ladakh,Q2
214,null,194106,2710,2022,ladakh,Q2
215,null,194109,2681,2022,ladakh,Q2
216,leh ladakh,0,78769,2022,ladakh,Q3
217,kargil,0,23530,2022,ladakh,Q3
218,null,194104,22353,2022,ladakh,Q3
219,null,194101,19786,2022,ladakh,Q3
220,null,194201,15631,2022,ladakh,Q3
221,null,194103,8113,2022,ladakh,Q3
222,null,194107,7342,2022,ladakh,Q3
223,null,194401,6856,2022,ladakh,Q3
224,null,194102,4828,2022,ladakh,Q3
225,null,194105,4306,2022,ladakh,Q3
226,null,194106,2840,2022,ladakh,Q3
227,null,194109,2791,2022,ladakh,Q3
228,leh ladakh,0,82011,2022,ladakh,Q4
229,kargil,0,24326,2022,ladakh,Q4
230,null,194104,23418,2022,ladakh,Q4
231,null,194101,20668,2022,ladakh,Q4
232,null,194201,16206,2022,ladakh,Q4
233,null,194103,8405,2022,ladakh,Q4
234,null,194107,7641,2022,ladakh,Q4
235,null,194401,7055,2022,ladakh,Q4
236,null,194102,5020,2022,ladakh,Q4
237,null,194105,4454,2022,ladakh,Q4
238,null,194106,2943,2022,ladakh,Q4
239,null,194109,2832,2022,ladakh,Q4
240,bengaluru urban,0,1922368,2018,karnataka,Q1
241,mysuru,0,150799,2018,karnataka,Q1
242,belagavi,0,140320,2018,karnataka,Q1
243,dharwad,0,106877,2018,karnataka,Q1
244,ballari,0,103566,2018,karnataka,Q1
245,bengaluru rural,0,87955,2018,karnataka,Q1
246,dakshina kannada,0,87491,2018,karnataka,Q1
247,tumakuru,0,82955,2018,karnataka,Q1
248,kalaburagi,0,81933,2018,karnataka,Q1
249,vijayapura,0,68814,2018,karnataka,Q1
250,null,560068,98487,2018,karnataka,Q1
251,null,560037,75304,2018,karnataka,Q1
252,null,560076,65302,2018,karnataka,Q1
253,null,560100,61796,2018,karnataka,Q1
254,null,560078,61759,2018,karnataka,Q1
255,null,560043,48734,2018,karnataka,Q1
256,null,560066,46324,2018,karnataka,Q1
257,null,560064,42625,2018,karnataka,Q1
258,null,560058,42501,2018,karnataka,Q1
259,null,560103,42384,2018,karnataka,Q1
260,bengaluru urban,0,2553312,2018,karnataka,Q2
261,mysuru,0,205044,2018,karnataka,Q2
