,District,Type,Count,Amount,Year,state,Quater
8131,south garo hills district,TOTAL,19054,44351833.9562286,2021,meghalaya,Q1
8132,east jaintia hills district,TOTAL,70732,205454314.7964044,2021,meghalaya,Q1
8133,south west garo hills district,TOTAL,18591,41861206.69737828,2021,meghalaya,Q1
8134,east khasi hills district,TOTAL,322156,915771307.2291536,2021,meghalaya,Q1
8135,east garo hills district,TOTAL,18473,40212217.23708049,2021,meghalaya,Q1
8136,ribhoi district,TOTAL,98957,266571316.12978175,2021,meghalaya,Q1
8137,west jaintia hills district,TOTAL,24312,53826602.11269104,2021,meghalaya,Q1
8138,west khasi hills district,TOTAL,16947,60183253.84696514,2021,meghalaya,Q1
8139,north garo hills district,TOTAL,25028,37984069.23193223,2021,meghalaya,Q2
8140,south west khasi hills district,TOTAL,7218,17922261.886446185,2021,meghalaya,Q2
8141,west garo hills district,TOTAL,174186,437555569.84538835,2021,meghalaya,Q2
8142,south garo hills district,TOTAL,21894,48819031.9572919,2021,meghalaya,Q2
8143,east jaintia hills district,TOTAL,87223,205906820.910982,2021,meghalaya,Q2
8144,south west garo hills district,TOTAL,24491,47526700.8985536,2021,meghalaya,Q2
8145,east khasi hills district,TOTAL,386773,994348113.9313933,2021,meghalaya,Q2
8146,east garo hills district,TOTAL,24431,42603145.83447135,2021,meghalaya,Q2
8147,ribhoi district,TOTAL,111231,265892507.53668693,2021,meghalaya,Q2
8148,west jaintia hills district,TOTAL,30529,53732989.3560653,2021,meghalaya,Q2
8149,west khasi hills district,TOTAL,16590,41326043.50138934,2021,meghalaya,Q2
8150,north garo hills district,TOTAL,30790,56346103.9411427,2021,meghalaya,Q3
8151,south west khasi hills district,TOTAL,8524,20862237.488949515,2021,meghalaya,Q3
8152,west garo hills district,TOTAL,207635,550868915.1603698,2021,meghalaya,Q3
8153,south garo hills district,TOTAL,23378,50417337.27842516,2021,meghalaya,Q3
8154,east jaintia hills district,TOTAL,103142,254116660.02417076,2021,meghalaya,Q3
8155,south west garo hills district,TOTAL,28662,59140851.35546415,2021,meghalaya,Q3
8156,east khasi hills district,TOTAL,475308,1267820067.2649465,2021,meghalaya,Q3
8157,east garo hills district,TOTAL,29654,54695590.9177565,2021,meghalaya,Q3
8158,ribhoi district,TOTAL,135524,337135306.83131677,2021,meghalaya,Q3
8159,west jaintia hills district,TOTAL,37590,71888903.2617979,2021,meghalaya,Q3
8160,west khasi hills district,TOTAL,17524,45708478.00363463,2021,meghalaya,Q3
8161,north garo hills district,TOTAL,38565,88113799.75521982,2021,meghalaya,Q4
8162,south west khasi hills district,TOTAL,12151,47472032.66584644,2021,meghalaya,Q4
8163,west garo hills district,TOTAL,261543,746098768.1324025,2021,meghalaya,Q4
8164,south garo hills district,TOTAL,28989,89662812.04398018,2021,meghalaya,Q4
8165,east jaintia hills district,TOTAL,140522,371541323.51234245,2021,meghalaya,Q4
8166,south west garo hills district,TOTAL,35153,76249072.06112294,2021,meghalaya,Q4
8167,east khasi hills district,TOTAL,602012,1647841435.7937279,2021,meghalaya,Q4
8168,east garo hills district,TOTAL,37744,79675265.12123142,2021,meghalaya,Q4
8169,ribhoi district,TOTAL,210094,495239611.12453955,2021,meghalaya,Q4
8170,west jaintia hills district,TOTAL,43460,98276171.06270258,2021,meghalaya,Q4
8171,west khasi hills district,TOTAL,29960,108595108.91303807,2021,meghalaya,Q4
8172,north garo hills district,TOTAL,42030,87894203.47088854,2022,meghalaya,Q1
8173,south west khasi hills district,TOTAL,14208,62450373.141422085,2022,meghalaya,Q1
8174,west garo hills district,TOTAL,325791,991586557.2279948,2022,meghalaya,Q1
8175,south garo hills district,TOTAL,43827,166412749.63292435,2022,meghalaya,Q1
8176,east jaintia hills district,TOTAL,169484,496156278.43872654,2022,meghalaya,Q1
8177,south west garo hills district,TOTAL,39644,98249285.49958462,2022,meghalaya,Q1
8178,east khasi hills district,TOTAL,653082,1762837936.3129022,2022,meghalaya,Q1
8179,east garo hills district,TOTAL,42878,97659034.30770612,2022,meghalaya,Q1
8180,ribhoi district,TOTAL,257923,624403404.8028624,2022,meghalaya,Q1
8181,west jaintia hills district,TOTAL,49196,126597671.42735201,2022,meghalaya,Q1
8182,west khasi hills district,TOTAL,36687,148090837.06952718,2022,meghalaya,Q1
8183,north garo hills district,TOTAL,44965,92496675.79074751,2022,meghalaya,Q2
8184,south west khasi hills district,TOTAL,13571,49978363.076969974,2022,meghalaya,Q2
8185,west garo hills district,TOTAL,392151,1150602954.6389537,2022,meghalaya,Q2
8186,south garo hills district,TOTAL,33680,92292848.0663783,2022,meghalaya,Q2
8187,east jaintia hills district,TOTAL,193196,502640751.7922024,2022,meghalaya,Q2
8188,south west garo hills district,TOTAL,43006,118240788.9357543,2022,meghalaya,Q2
8189,east khasi hills district,TOTAL,853333,2156500112.108344,2022,meghalaya,Q2
8190,east garo hills district,TOTAL,46150,106793207.7940663,2022,meghalaya,Q2
8191,ribhoi district,TOTAL,337102,755786725.0698186,2022,meghalaya,Q2
8192,west jaintia hills district,TOTAL,56272,152394109.72808385,2022,meghalaya,Q2
8193,west khasi hills district,TOTAL,31223,103764884.88347428,2022,meghalaya,Q2
8194,north garo hills district,TOTAL,48727,107884419.5564478,2022,meghalaya,Q3
8195,south west khasi hills district,TOTAL,13340,47102262.07706757,2022,meghalaya,Q3
8196,west garo hills district,TOTAL,508052,1283479556.4130952,2022,meghalaya,Q3
8197,south garo hills district,TOTAL,35206,88310719.84102407,2022,meghalaya,Q3
8198,east jaintia hills district,TOTAL,241204,633317484.0750391,2022,meghalaya,Q3
8199,south west garo hills district,TOTAL,48898,121831916.0453497,2022,meghalaya,Q3
8200,east khasi hills district,TOTAL,2924522,6137770373.209272,2022,meghalaya,Q3
8201,east garo hills district,TOTAL,47047,99390252.25463584,2022,meghalaya,Q3
8202,ribhoi district,TOTAL,400075,825278960.5336027,2022,meghalaya,Q3
8203,west jaintia hills district,TOTAL,62798,171112837.01348788,2022,meghalaya,Q3
8204,west khasi hills district,TOTAL,29296,87822016.10251653,2022,meghalaya,Q3
8205,north garo hills district,TOTAL,59149,130072498.39208946,2022,meghalaya,Q4
8206,south west khasi hills district,TOTAL,16773,61873256.01063821,2022,meghalaya,Q4
8207,west garo hills district,TOTAL,612945,1565478827.2720146,2022,meghalaya,Q4
8208,south garo hills district,TOTAL,47478,134393051.37739396,2022,meghalaya,Q4
8209,east jaintia hills district,TOTAL,252554,698736182.2686266,2022,meghalaya,Q4
8210,south west garo hills district,TOTAL,59231,150334364.85984027,2022,meghalaya,Q4
8211,east khasi hills district,TOTAL,2285868,4886013367.030626,2022,meghalaya,Q4
8212,east garo hills district,TOTAL,59445,143293321.8148586,2022,meghalaya,Q4
8213,ribhoi district,TOTAL,416100,855262410.3336376,2022,meghalaya,Q4
8214,west jaintia hills district,TOTAL,81501,229129661.89603108,2022,meghalaya,Q4
8215,west khasi hills district,TOTAL,41404,141954215.09290665,2022,meghalaya,Q4
8216,tinsukia district,TOTAL,41237,45886201.028968215,2018,assam,Q1
8217,lakhimpur district,TOTAL,24946,17798094.851239465,2018,assam,Q1
8218,kamrup district,TOTAL,47859,41868129.255927615,2018,assam,Q1
8219,kokrajhar district,TOTAL,16397,17935304.652874034,2018,assam,Q1
8220,karbi anglong district,TOTAL,15032,14875159.1867853,2018,assam,Q1
8221,sivasagar district,TOTAL,16898,17611863.81889959,2018,assam,Q1
8222,dibrugarh district,TOTAL,44792,53258765.86975427,2018,assam,Q1
8223,south salmara mancachar district,TOTAL,8415,9404471.999163514,2018,assam,Q1
8224,nagaon district,TOTAL,66695,56352631.291476294,2018,assam,Q1
8225,dhubri district,TOTAL,26072,24431277.76189988,2018,assam,Q1
8226,golaghat district,TOTAL,22089,19058581.948010616,2018,assam,Q1
8227,udalguri district,TOTAL,18168,14465756.75866175,2018,assam,Q1
8228,majuli district,TOTAL,2598,1326721.023225203,2018,assam,Q1
8229,sonitpur district,TOTAL,51976,73005566.24909952,2018,assam,Q1
8230,hojai district,TOTAL,16917,15849610.99109809,2018,assam,Q1
8231,marigaon district,TOTAL,79832,105067294.49868405,2018,assam,Q1
8232,chirang district,TOTAL,8445,11665546.586547565,2018,assam,Q1
8233,cachar district,TOTAL,56481,57250290.53047233,2018,assam,Q1
8234,nalbari district,TOTAL,16878,12393870.992541898,2018,assam,Q1
8235,west karbi anglong district,TOTAL,1445,570966.7219731117,2018,assam,Q1
8236,dhemaji district,TOTAL,16037,17004986.97044885,2018,assam,Q1
8237,karimganj district,TOTAL,17261,17842353.51962607,2018,assam,Q1
8238,bongaigaon district,TOTAL,18899,21510944.891263362,2018,assam,Q1
8239,dima hasao district,TOTAL,4233,4781136.056644153,2018,assam,Q1
8240,baksa district,TOTAL,20964,22457849.86668141,2018,assam,Q1
8241,charaideo district,TOTAL,13094,10873516.975702649,2018,assam,Q1
8242,darrang district,TOTAL,28031,21593879.067580055,2018,assam,Q1
8243,kamrup metropolitan district,TOTAL,194617,284766218.98487484,2018,assam,Q1
8244,hailakandi district,TOTAL,15865,11065155.715426873,2018,assam,Q1
8245,barpeta district,TOTAL,67801,56352302.37753609,2018,assam,Q1
8246,goalpara district,TOTAL,27132,25331840.51625772,2018,assam,Q1
8247,biswanath district,TOTAL,16453,12983623.197160937,2018,assam,Q1
8248,jorhat district,TOTAL,33322,41164542.05596451,2018,assam,Q1
8249,tinsukia district,TOTAL,66715,102921465.63822293,2018,assam,Q2
8250,lakhimpur district,TOTAL,39374,43214923.214693636,2018,assam,Q2
8251,kamrup district,TOTAL,74537,83338163.66068907,2018,assam,Q2
8252,kokrajhar district,TOTAL,25926,39803961.022866696,2018,assam,Q2
8253,karbi anglong district,TOTAL,21038,32715713.62045552,2018,assam,Q2
8254,sivasagar district,TOTAL,32513,38045383.75274092,2018,assam,Q2
8255,dibrugarh district,TOTAL,70642,110954951.68517756,2018,assam,Q2
8256,south salmara mancachar district,TOTAL,11905,17203000.741125718,2018,assam,Q2
8257,nagaon district,TOTAL,105834,129818644.91478491,2018,assam,Q2
8258,dhubri district,TOTAL,45661,47762317.267708406,2018,assam,Q2
8259,golaghat district,TOTAL,36437,43250232.58380605,2018,assam,Q2
8260,udalguri district,TOTAL,27215,30375056.040722743,2018,assam,Q2
8261,majuli district,TOTAL,5058,3699473.567640461,2018,assam,Q2
8262,sonitpur district,TOTAL,82799,151230715.30607644,2018,assam,Q2
8263,hojai district,TOTAL,27627,37555286.20435598,2018,assam,Q2
8264,marigaon district,TOTAL,109223,204057284.2187584,2018,assam,Q2
8265,chirang district,TOTAL,11893,20005276.774361502,2018,assam,Q2
8266,cachar district,TOTAL,83921,105147622.61224496,2018,assam,Q2
8267,nalbari district,TOTAL,28274,31476842.338154256,2018,assam,Q2
8268,west karbi anglong district,TOTAL,3059,2307157.4720137673,2018,assam,Q2
8269,dhemaji district,TOTAL,28048,40136198.64929268,2018,assam,Q2
8270,karimganj district,TOTAL,29742,31418376.057903484,2018,assam,Q2
8271,bongaigaon district,TOTAL,30556,41124057.19038026,2018,assam,Q2
8272,dima hasao district,TOTAL,7909,15427592.177508093,2018,assam,Q2
8273,baksa district,TOTAL,34924,47062551.49763677,2018,assam,Q2
8274,charaideo district,TOTAL,22888,22097271.472520743,2018,assam,Q2
8275,darrang district,TOTAL,39773,44360631.7271892,2018,assam,Q2
8276,kamrup metropolitan district,TOTAL,320417,548619364.2308466,2018,assam,Q2
8277,hailakandi district,TOTAL,20932,21484955.789951526,2018,assam,Q2
8278,barpeta district,TOTAL,102217,117541108.74699074,2018,assam,Q2
8279,goalpara district,TOTAL,38784,48654323.65172512,2018,assam,Q2
8280,biswanath district,TOTAL,24691,27140715.978855878,2018,assam,Q2
8281,jorhat district,TOTAL,53341,70634515.73039348,2018,assam,Q2
8282,tinsukia district,TOTAL,90928,155121755.76365337,2018,assam,Q3
8283,lakhimpur district,TOTAL,51496,62695597.63194518,2018,assam,Q3
8284,kamrup district,TOTAL,112726,148929589.80060056,2018,assam,Q3
8285,kokrajhar district,TOTAL,40412,73077064.97429448,2018,assam,Q3
8286,karbi anglong district,TOTAL,34200,57257408.755169146,2018,assam,Q3
8287,sivasagar district,TOTAL,42699,59919419.351953864,2018,assam,Q3
8288,dibrugarh district,TOTAL,98822,173048841.5837646,2018,assam,Q3
8289,south salmara mancachar district,TOTAL,19386,26159422.01650779,2018,assam,Q3
8290,nagaon district,TOTAL,142195,208584967.9650631,2018,assam,Q3
8291,dhubri district,TOTAL,67607,103548615.7832775,2018,assam,Q3
8292,golaghat district,TOTAL,54792,72105527.30150673,2018,assam,Q3
8293,udalguri district,TOTAL,37084,49951166.54462874,2018,assam,Q3
8294,majuli district,TOTAL,10921,8055597.913024999,2018,assam,Q3
8295,sonitpur district,TOTAL,116196,252135800.71617544,2018,assam,Q3
8296,hojai district,TOTAL,38583,61817228.94964518,2018,assam,Q3
8297,marigaon district,TOTAL,102867,189132040.91743046,2018,assam,Q3
8298,chirang district,TOTAL,18743,33723485.937145546,2018,assam,Q3
8299,cachar district,TOTAL,123735,189612378.33199263,2018,assam,Q3
8300,nalbari district,TOTAL,41038,53972192.02012733,2018,assam,Q3
8301,west karbi anglong district,TOTAL,4995,4925639.964915074,2018,assam,Q3
8302,dhemaji district,TOTAL,40083,66647316.37566679,2018,assam,Q3
8303,karimganj district,TOTAL,44660,61562538.83501206,2018,assam,Q3
8304,bongaigaon district,TOTAL,50508,82437701.24197799,2018,assam,Q3
8305,dima hasao district,TOTAL,12952,21820660.620861933,2018,assam,Q3
8306,baksa district,TOTAL,50043,78080860.90020068,2018,assam,Q3
8307,charaideo district,TOTAL,28439,37987634.601765156,2018,assam,Q3
8308,darrang district,TOTAL,51560,66050473.03652644,2018,assam,Q3
8309,kamrup metropolitan district,TOTAL,476050,884121118.8280818,2018,assam,Q3
8310,hailakandi district,TOTAL,29372,41835687.849734716,2018,assam,Q3
8311,barpeta district,TOTAL,145945,230125281.84070832,2018,assam,Q3
8312,goalpara district,TOTAL,57019,88773137.69565679,2018,assam,Q3
8313,biswanath district,TOTAL,36071,49910423.578981526,2018,assam,Q3
8314,jorhat district,TOTAL,79724,118008412.28630178,2018,assam,Q3
8315,tinsukia district,TOTAL,127171,253718923.0695014,2018,assam,Q4
8316,lakhimpur district,TOTAL,76772,104689433.9410339,2018,assam,Q4
8317,kamrup district,TOTAL,162592,236088241.49952984,2018,assam,Q4
8318,kokrajhar district,TOTAL,54606,123041318.32460138,2018,assam,Q4
8319,karbi anglong district,TOTAL,53526,99019113.05197324,2018,assam,Q4
8320,sivasagar district,TOTAL,64113,99142069.27717136,2018,assam,Q4
8321,dibrugarh district,TOTAL,144931,264346941.4922037,2018,assam,Q4
8322,south salmara mancachar district,TOTAL,26334,41170236.09800846,2018,assam,Q4
8323,nagaon district,TOTAL,435103,317973029.4737475,2018,assam,Q4
8324,dhubri district,TOTAL,120810,181651044.89215764,2018,assam,Q4
8325,golaghat district,TOTAL,79500,126712548.58575013,2018,assam,Q4
8326,udalguri district,TOTAL,51801,90836151.48172343,2018,assam,Q4
8327,majuli district,TOTAL,16498,13348264.371029017,2018,assam,Q4
8328,sonitpur district,TOTAL,165399,358549931.5785284,2018,assam,Q4
8329,hojai district,TOTAL,53523,85392301.38430479,2018,assam,Q4
8330,marigaon district,TOTAL,193075,207853575.09985885,2018,assam,Q4
8331,chirang district,TOTAL,26846,51647368.60810732,2018,assam,Q4
8332,cachar district,TOTAL,187360,272342253.1327299,2018,assam,Q4
8333,nalbari district,TOTAL,61931,83491586.46719557,2018,assam,Q4
8334,west karbi anglong district,TOTAL,8729,9985888.620912362,2018,assam,Q4
8335,dhemaji district,TOTAL,62268,109905674.61382627,2018,assam,Q4
8336,karimganj district,TOTAL,62738,106200165.50793815,2018,assam,Q4
8337,bongaigaon district,TOTAL,84239,130369027.68827806,2018,assam,Q4
8338,dima hasao district,TOTAL,19051,41435937.87571849,2018,assam,Q4
8339,baksa district,TOTAL,66602,114583565.16335085,2018,assam,Q4
8340,charaideo district,TOTAL,41777,63979700.09467216,2018,assam,Q4
8341,darrang district,TOTAL,67909,109435369.93100193,2018,assam,Q4
8342,kamrup metropolitan district,TOTAL,686010,1345451492.4344451,2018,assam,Q4
8343,hailakandi district,TOTAL,43026,66947503.90498407,2018,assam,Q4
8344,barpeta district,TOTAL,225449,354675455.9326413,2018,assam,Q4
8345,goalpara district,TOTAL,101776,171764620.40410748,2018,assam,Q4
8346,biswanath district,TOTAL,52514,77750045.91803803,2018,assam,Q4
8347,jorhat district,TOTAL,110193,174524079.09399235,2018,assam,Q4
8348,tinsukia district,TOTAL,147896,296016100.5028683,2019,assam,Q1
8349,lakhimpur district,TOTAL,84448,135217192.88448116,2019,assam,Q1
8350,kamrup district,TOTAL,205094,325387078.1294668,2019,assam,Q1
8351,kokrajhar district,TOTAL,60413,133213397.36930162,2019,assam,Q1
8352,karbi anglong district,TOTAL,62301,127716945.67539394,2019,assam,Q1
8353,sivasagar district,TOTAL,73524,126028482.89568174,2019,assam,Q1
8354,dibrugarh district,TOTAL,180303,308520050.14443624,2019,assam,Q1
8355,south salmara mancachar district,TOTAL,36980,56376266.78267565,2019,assam,Q1
8356,nagaon district,TOTAL,265767,382986937.00269973,2019,assam,Q1
8357,dhubri district,TOTAL,129363,168832530.51137578,2019,assam,Q1
8358,golaghat district,TOTAL,87815,150699869.58634305,2019,assam,Q1
8359,udalguri district,TOTAL,57339,103343677.3304387,2019,assam,Q1
8360,majuli district,TOTAL,15485,17616797.703198176,2019,assam,Q1
8361,sonitpur district,TOTAL,197716,409811805.46215415,2019,assam,Q1
8362,hojai district,TOTAL,61983,111715019.69069499,2019,assam,Q1
8363,marigaon district,TOTAL,162645,225891536.78995085,2019,assam,Q1
8364,chirang district,TOTAL,32379,57539957.793235525,2019,assam,Q1
8365,cachar district,TOTAL,206705,335675210.43395036,2019,assam,Q1
8366,nalbari district,TOTAL,70290,94533334.09474775,2019,assam,Q1
8367,west karbi anglong district,TOTAL,11141,12368112.989129752,2019,assam,Q1
8368,dhemaji district,TOTAL,69519,134956449.74452934,2019,assam,Q1
8369,karimganj district,TOTAL,76238,140750684.4913983,2019,assam,Q1
8370,bongaigaon district,TOTAL,91061,138479281.39115623,2019,assam,Q1
8371,dima hasao district,TOTAL,26119,51318304.483347006,2019,assam,Q1
8372,baksa district,TOTAL,75377,147648364.40043023,2019,assam,Q1
8373,charaideo district,TOTAL,49174,75457156.83902974,2019,assam,Q1
8374,darrang district,TOTAL,76056,137391656.7613904,2019,assam,Q1
8375,kamrup metropolitan district,TOTAL,1306775,2605380335.9221573,2019,assam,Q1
8376,hailakandi district,TOTAL,51401,76319460.13758466,2019,assam,Q1
8377,barpeta district,TOTAL,262834,416977891.5222329,2019,assam,Q1
8378,goalpara district,TOTAL,113947,191744923.215441,2019,assam,Q1
8379,biswanath district,TOTAL,59752,91143579.39023894,2019,assam,Q1
8380,jorhat district,TOTAL,125165,215041144.37958878,2019,assam,Q1
8381,tinsukia district,TOTAL,148294,323303192.86631006,2019,assam,Q2
8382,lakhimpur district,TOTAL,88545,154536738.9259897,2019,assam,Q2
8383,kamrup district,TOTAL,176995,334724712.0725308,2019,assam,Q2
8384,kokrajhar district,TOTAL,58445,136120566.46937045,2019,assam,Q2
8385,karbi anglong district,TOTAL,62877,150114998.0486763,2019,assam,Q2
8386,sivasagar district,TOTAL,74192,134981544.55457747,2019,assam,Q2
8387,dibrugarh district,TOTAL,169357,356524668.62132466,2019,assam,Q2
8388,south salmara mancachar district,TOTAL,32449,69876713.5681054,2019,assam,Q2
8389,nagaon district,TOTAL,231423,422774561.3600137,2019,assam,Q2
8390,dhubri district,TOTAL,101070,201203482.8078656,2019,assam,Q2
8391,golaghat district,TOTAL,89403,157511569.7769561,2019,assam,Q2
8392,udalguri district,TOTAL,51326,108912182.9417754,2019,assam,Q2
8393,majuli district,TOTAL,13800,17825869.547913164,2019,assam,Q2
8394,sonitpur district,TOTAL,192707,444337498.7727274,2019,assam,Q2
8395,hojai district,TOTAL,63598,125015617.43164451,2019,assam,Q2
8396,marigaon district,TOTAL,130459,235342996.58975655,2019,assam,Q2
8397,chirang district,TOTAL,31621,65747046.11911234,2019,assam,Q2
8398,cachar district,TOTAL,177976,335126276.2091832,2019,assam,Q2
8399,nalbari district,TOTAL,64729,108268162.20079285,2019,assam,Q2
8400,west karbi anglong district,TOTAL,10260,15373392.65586704,2019,assam,Q2
8401,dhemaji district,TOTAL,66560,150306788.81401327,2019,assam,Q2
8402,karimganj district,TOTAL,70635,144404980.60717523,2019,assam,Q2
8403,bongaigaon district,TOTAL,80689,155642822.44107914,2019,assam,Q2
8404,dima hasao district,TOTAL,28118,57300032.732904054,2019,assam,Q2
8405,baksa district,TOTAL,70162,150019543.78537178,2019,assam,Q2
8406,charaideo district,TOTAL,45010,85061629.87310517,2019,assam,Q2
8407,darrang district,TOTAL,70387,140869866.57193547,2019,assam,Q2
8408,kamrup metropolitan district,TOTAL,2488968,5089657876.792284,2019,assam,Q2
8409,hailakandi district,TOTAL,47321,79845847.4735592,2019,assam,Q2
8410,barpeta district,TOTAL,228864,466786096.3962827,2019,assam,Q2
8411,goalpara district,TOTAL,97473,201643499.0041993,2019,assam,Q2
8412,biswanath district,TOTAL,61472,103930302.37445727,2019,assam,Q2
8413,jorhat district,TOTAL,129744,231878110.7193352,2019,assam,Q2
8414,tinsukia district,TOTAL,196245,357008533.5524102,2019,assam,Q3
8415,lakhimpur district,TOTAL,115808,182745177.30235583,2019,assam,Q3
8416,kamrup district,TOTAL,222439,383883901.2477784,2019,assam,Q3
8417,kokrajhar district,TOTAL,77004,153786698.22127867,2019,assam,Q3
8418,karbi anglong district,TOTAL,83280,173411321.7054668,2019,assam,Q3
8419,sivasagar district,TOTAL,101503,160505383.6038673,2019,assam,Q3
8420,dibrugarh district,TOTAL,230118,425077484.1305032,2019,assam,Q3
8421,south salmara mancachar district,TOTAL,32727,72591552.54102534,2019,assam,Q3
8422,nagaon district,TOTAL,258566,491551326.21533215,2019,assam,Q3
8423,dhubri district,TOTAL,115968,235503727.27269614,2019,assam,Q3
8424,golaghat district,TOTAL,121795,194779142.64060068,2019,assam,Q3
8425,udalguri district,TOTAL,69169,133441413.33037564,2019,assam,Q3
8426,majuli district,TOTAL,19170,22241164.406410635,2019,assam,Q3
8427,sonitpur district,TOTAL,257623,533288953.0348954,2019,assam,Q3
8428,hojai district,TOTAL,84120,154505233.54100534,2019,assam,Q3
8429,marigaon district,TOTAL,116364,242626706.43637043,2019,assam,Q3
8430,chirang district,TOTAL,45161,87808950.14199197,2019,assam,Q3
8431,cachar district,TOTAL,242781,426502976.7731471,2019,assam,Q3
8432,nalbari district,TOTAL,82814,133051985.19050579,2019,assam,Q3
8433,west karbi anglong district,TOTAL,14546,17754122.575145133,2019,assam,Q3
8434,dhemaji district,TOTAL,90986,171587706.61930138,2019,assam,Q3
8435,karimganj district,TOTAL,96450,167756855.41726434,2019,assam,Q3
8436,bongaigaon district,TOTAL,104703,184020775.95802072,2019,assam,Q3
8437,dima hasao district,TOTAL,41878,80649915.50275356,2019,assam,Q3
8438,baksa district,TOTAL,92868,175122110.84885266,2019,assam,Q3
8439,charaideo district,TOTAL,59490,103441007.08569291,2019,assam,Q3
8440,darrang district,TOTAL,90156,171891466.67902952,2019,assam,Q3
8441,kamrup metropolitan district,TOTAL,2188998,6080999088.202992,2019,assam,Q3
8442,hailakandi district,TOTAL,62134,95753332.8367396,2019,assam,Q3
8443,barpeta district,TOTAL,262253,505242250.25981045,2019,assam,Q3
8444,goalpara district,TOTAL,119928,234306376.69394106,2019,assam,Q3
8445,biswanath district,TOTAL,78058,123277846.06646207,2019,assam,Q3
8446,jorhat district,TOTAL,167468,274329134.3924885,2019,assam,Q3
8447,tinsukia district,TOTAL,224113,423685126.94560075,2019,assam,Q4
8448,lakhimpur district,TOTAL,129734,211979144.7023744,2019,assam,Q4
8449,kamrup district,TOTAL,249708,461559258.766533,2019,assam,Q4
8450,kokrajhar district,TOTAL,90371,198548447.25328588,2019,assam,Q4
8451,karbi anglong district,TOTAL,95122,214907046.11081886,2019,assam,Q4
8452,sivasagar district,TOTAL,112099,192010348.16393307,2019,assam,Q4
8453,dibrugarh district,TOTAL,255885,470389915.7975105,2019,assam,Q4
8454,south salmara mancachar district,TOTAL,39935,91996007.23237559,2019,assam,Q4
8455,nagaon district,TOTAL,287586,546184547.4478517,2019,assam,Q4
8456,dhubri district,TOTAL,134357,284612415.48264515,2019,assam,Q4
8457,golaghat district,TOTAL,138710,238009780.18189836,2019,assam,Q4
8458,udalguri district,TOTAL,77332,154704605.56495023,2019,assam,Q4
8459,majuli district,TOTAL,20488,26928995.953304544,2019,assam,Q4
8460,sonitpur district,TOTAL,298139,613461613.2726698,2019,assam,Q4
8461,hojai district,TOTAL,95246,175607661.95152915,2019,assam,Q4
8462,marigaon district,TOTAL,132919,263927905.91411433,2019,assam,Q4
8463,chirang district,TOTAL,51791,101022374.81498426,2019,assam,Q4
8464,cachar district,TOTAL,273506,482197783.1553297,2019,assam,Q4
8465,nalbari district,TOTAL,95723,156653435.63897616,2019,assam,Q4
8466,west karbi anglong district,TOTAL,17914,25460539.282486644,2019,assam,Q4
8467,dhemaji district,TOTAL,103033,197496702.44348955,2019,assam,Q4
8468,karimganj district,TOTAL,108697,194919405.22699457,2019,assam,Q4
8469,bongaigaon district,TOTAL,119397,235963764.71799022,2019,assam,Q4
8470,dima hasao district,TOTAL,45414,93463244.8365884,2019,assam,Q4
8471,baksa district,TOTAL,106632,221221950.65788725,2019,assam,Q4
8472,charaideo district,TOTAL,70323,125582119.32897243,2019,assam,Q4
8473,darrang district,TOTAL,98623,201143725.75237712,2019,assam,Q4
8474,kamrup metropolitan district,TOTAL,2510384,7206165641.817837,2019,assam,Q4
8475,hailakandi district,TOTAL,67877,117286060.91560167,2019,assam,Q4
8476,barpeta district,TOTAL,295624,613479659.5323288,2019,assam,Q4
8477,goalpara district,TOTAL,139662,282003507.8056698,2019,assam,Q4
8478,biswanath district,TOTAL,88764,151710760.8210323,2019,assam,Q4
8479,jorhat district,TOTAL,185402,307700398.0221567,2019,assam,Q4
8480,tinsukia district,TOTAL,286640,541758826.9845176,2020,assam,Q1
8481,lakhimpur district,TOTAL,170709,275431087.19729304,2020,assam,Q1
8482,kamrup district,TOTAL,322830,605538834.8588183,2020,assam,Q1
8483,kokrajhar district,TOTAL,114668,248408355.21989542,2020,assam,Q1
8484,karbi anglong district,TOTAL,113535,217131796.10672602,2020,assam,Q1
8485,sivasagar district,TOTAL,145386,255427708.50909787,2020,assam,Q1
8486,dibrugarh district,TOTAL,317878,585327059.678019,2020,assam,Q1
8487,south salmara mancachar district,TOTAL,53050,131605619.18781178,2020,assam,Q1
8488,nagaon district,TOTAL,360749,736229612.8989756,2020,assam,Q1
8489,dhubri district,TOTAL,171651,396380458.8856824,2020,assam,Q1
8490,golaghat district,TOTAL,179380,301335497.7930421,2020,assam,Q1
8491,udalguri district,TOTAL,102667,191387716.4480479,2020,assam,Q1
8492,majuli district,TOTAL,25164,35131725.05132236,2020,assam,Q1
8493,sonitpur district,TOTAL,383179,755509094.6113625,2020,assam,Q1
8494,hojai district,TOTAL,116561,234366183.7308593,2020,assam,Q1
8495,marigaon district,TOTAL,178906,365789442.36522716,2020,assam,Q1
8496,chirang district,TOTAL,69572,129457976.34682235,2020,assam,Q1
8497,cachar district,TOTAL,375774,659702346.1886156,2020,assam,Q1
8498,nalbari district,TOTAL,123597,204236898.97519046,2020,assam,Q1
8499,west karbi anglong district,TOTAL,24370,34424503.58908371,2020,assam,Q1
8500,dhemaji district,TOTAL,132751,261048437.21831787,2020,assam,Q1
8501,karimganj district,TOTAL,149784,300337283.14218104,2020,assam,Q1
