,District,Type,Count,Amount,Year,state,Quater
109,belagavi district,TOTAL,533530,845527722.6769543,2018,karnataka,Q3
110,kolar district,TOTAL,306174,575358671.1529725,2018,karnataka,Q3
111,uttara kannada district,TOTAL,158965,245792251.0064874,2018,karnataka,Q3
112,tumakuru district,TOTAL,360361,761725760.4228042,2018,karnataka,Q3
113,yadgir district,TOTAL,94615,238773314.8823272,2018,karnataka,Q3
114,bengaluru urban district,TOTAL,18405424,33812835282.27632,2018,karnataka,Q3
115,chikkaballapura district,TOTAL,206995,455657587.43727696,2018,karnataka,Q3
116,davanagere district,TOTAL,262775,492038963.89301944,2018,karnataka,Q3
117,bagalkote district,TOTAL,261382,386799858.107288,2018,karnataka,Q3
118,vijayapura district,TOTAL,282023,544199069.9645602,2018,karnataka,Q3
119,koppal district,TOTAL,137612,266476549.3538421,2018,karnataka,Q3
120,bidar district,TOTAL,305909,592567176.6178123,2018,karnataka,Q3
121,bengaluru rural district,TOTAL,436757,912516659.1974224,2018,karnataka,Q3
122,raichur district,TOTAL,261036,534240617.6416866,2018,karnataka,Q3
123,chamarajanagara district,TOTAL,67825,117401392.08948684,2018,karnataka,Q3
124,dakshina kannada district,TOTAL,363684,664098740.3597008,2018,karnataka,Q3
125,hassan district,TOTAL,209392,437626349.28732896,2018,karnataka,Q3
126,dharwad district,TOTAL,431588,662938245.6847134,2018,karnataka,Q3
127,shivamogga district,TOTAL,214984,403295006.78298324,2018,karnataka,Q3
128,udupi district,TOTAL,192716,367215858.6763589,2018,karnataka,Q3
129,gadag district,TOTAL,125458,183892465.80073494,2018,karnataka,Q3
130,mysuru district,TOTAL,992071,1934191959.7463405,2018,karnataka,Q4
131,chitradurga district,TOTAL,260875,546653636.718746,2018,karnataka,Q4
132,kalaburagi district,TOTAL,484662,1051812356.8478899,2018,karnataka,Q4
133,ramanagara district,TOTAL,439026,851555945.1183145,2018,karnataka,Q4
134,mandya district,TOTAL,344532,720190472.7213624,2018,karnataka,Q4
135,kodagu district,TOTAL,86516,173960980.54396644,2018,karnataka,Q4
136,chikkamagaluru district,TOTAL,168715,342427224.4189781,2018,karnataka,Q4
137,haveri district,TOTAL,185161,339306947.5389293,2018,karnataka,Q4
138,ballari district,TOTAL,706744,1433381270.7836392,2018,karnataka,Q4
139,belagavi district,TOTAL,790074,1380889164.00907,2018,karnataka,Q4
140,kolar district,TOTAL,560804,972325521.2040188,2018,karnataka,Q4
141,uttara kannada district,TOTAL,243522,422226740.12537265,2018,karnataka,Q4
142,tumakuru district,TOTAL,546317,1135663144.6698978,2018,karnataka,Q4
143,yadgir district,TOTAL,145371,362358443.4741473,2018,karnataka,Q4
144,bengaluru urban district,TOTAL,33061353,50279165003.07312,2018,karnataka,Q4
145,chikkaballapura district,TOTAL,362252,695025056.5925088,2018,karnataka,Q4
146,davanagere district,TOTAL,406502,772186269.0594003,2018,karnataka,Q4
147,bagalkote district,TOTAL,378816,616194423.7795491,2018,karnataka,Q4
148,vijayapura district,TOTAL,407819,851094200.8525147,2018,karnataka,Q4
149,koppal district,TOTAL,204253,424705014.54504216,2018,karnataka,Q4
150,bidar district,TOTAL,420152,906044599.8161691,2018,karnataka,Q4
151,bengaluru rural district,TOTAL,809772,1521114253.9508784,2018,karnataka,Q4
152,raichur district,TOTAL,392004,829979589.5310304,2018,karnataka,Q4
153,chamarajanagara district,TOTAL,108505,203176036.8450142,2018,karnataka,Q4
154,dakshina kannada district,TOTAL,572445,1035756925.1271486,2018,karnataka,Q4
155,hassan district,TOTAL,313128,708379494.3534096,2018,karnataka,Q4
156,dharwad district,TOTAL,632389,1056146644.1909373,2018,karnataka,Q4
157,shivamogga district,TOTAL,305791,615205068.1171639,2018,karnataka,Q4
158,udupi district,TOTAL,300804,535630124.88923,2018,karnataka,Q4
159,gadag district,TOTAL,181696,291640063.42841136,2018,karnataka,Q4
160,mysuru district,TOTAL,1927906,3156454954.6930947,2019,karnataka,Q1
161,chitradurga district,TOTAL,414641,810523100.9070721,2019,karnataka,Q1
162,kalaburagi district,TOTAL,736201,1493727762.8934321,2019,karnataka,Q1
163,ramanagara district,TOTAL,928541,1444743612.7999709,2019,karnataka,Q1
164,mandya district,TOTAL,642364,1206557137.4535284,2019,karnataka,Q1
