,District name,No of Registered User,AppOpens,Year,State Name,Quater
151,bengaluru rural district,209778,0,2018,karnataka,Q4
152,raichur district,132914,0,2018,karnataka,Q4
153,chamarajanagara district,45547,0,2018,karnataka,Q4
154,dakshina kannada district,202453,0,2018,karnataka,Q4
155,hassan district,132797,0,2018,karnataka,Q4
156,dharwad district,230679,0,2018,karnataka,Q4
157,shivamogga district,138815,0,2018,karnataka,Q4
158,udupi district,109312,0,2018,karnataka,Q4
159,gadag district,66147,0,2018,karnataka,Q4
160,mysuru district,432208,0,2019,karnataka,Q1
161,chitradurga district,127578,0,2019,karnataka,Q1
162,kalaburagi district,230020,0,2019,karnataka,Q1
163,ramanagara district,148213,0,2019,karnataka,Q1
164,mandya district,164533,0,2019,karnataka,Q1
165,kodagu district,47953,0,2019,karnataka,Q1
166,chikkamagaluru district,98090,0,2019,karnataka,Q1
167,haveri district,100853,0,2019,karnataka,Q1
168,ballari district,281648,0,2019,karnataka,Q1
169,belagavi district,412265,0,2019,karnataka,Q1
170,kolar district,201909,0,2019,karnataka,Q1
171,uttara kannada district,131243,0,2019,karnataka,Q1
172,tumakuru district,258398,0,2019,karnataka,Q1
173,yadgir district,67099,0,2019,karnataka,Q1
174,bengaluru urban district,5003207,0,2019,karnataka,Q1
175,chikkaballapura district,137719,0,2019,karnataka,Q1
176,davanagere district,191840,0,2019,karnataka,Q1
177,bagalkote district,173415,0,2019,karnataka,Q1
178,vijayapura district,199735,0,2019,karnataka,Q1
179,koppal district,103151,0,2019,karnataka,Q1
180,bidar district,160253,0,2019,karnataka,Q1
181,bengaluru rural district,267147,0,2019,karnataka,Q1
182,raichur district,163836,0,2019,karnataka,Q1
183,chamarajanagara district,59101,0,2019,karnataka,Q1
184,dakshina kannada district,254135,0,2019,karnataka,Q1
185,hassan district,169484,0,2019,karnataka,Q1
186,dharwad district,287568,0,2019,karnataka,Q1
187,shivamogga district,174221,0,2019,karnataka,Q1
188,udupi district,136628,0,2019,karnataka,Q1
189,gadag district,82724,0,2019,karnataka,Q1
190,mysuru district,517839,3883347,2019,karnataka,Q2
191,chitradurga district,152893,917295,2019,karnataka,Q2
192,kalaburagi district,267907,1592100,2019,karnataka,Q2
193,ramanagara district,177164,1571272,2019,karnataka,Q2
194,mandya district,200103,1408879,2019,karnataka,Q2
195,kodagu district,60977,323029,2019,karnataka,Q2
196,chikkamagaluru district,119458,597243,2019,karnataka,Q2
197,haveri district,120318,607007,2019,karnataka,Q2
198,ballari district,330704,2591795,2019,karnataka,Q2
199,belagavi district,492435,2779128,2019,karnataka,Q2
200,kolar district,240400,1936572,2019,karnataka,Q2
201,uttara kannada district,155128,723813,2019,karnataka,Q2
202,tumakuru district,312592,2112256,2019,karnataka,Q2
203,yadgir district,79499,479502,2019,karnataka,Q2
204,bengaluru urban district,5694165,71768692,2019,karnataka,Q2
205,chikkaballapura district,165237,1341464,2019,karnataka,Q2
206,davanagere district,226600,1439455,2019,karnataka,Q2
207,bagalkote district,202371,1174328,2019,karnataka,Q2
208,vijayapura district,237960,1452198,2019,karnataka,Q2
209,koppal district,122344,771554,2019,karnataka,Q2
210,bidar district,185622,1279191,2019,karnataka,Q2
211,bengaluru rural district,314610,3040775,2019,karnataka,Q2
212,raichur district,192262,1319337,2019,karnataka,Q2
213,chamarajanagara district,71698,415442,2019,karnataka,Q2
214,dakshina kannada district,306684,1488612,2019,karnataka,Q2
215,hassan district,205501,1137827,2019,karnataka,Q2
216,dharwad district,342439,2485798,2019,karnataka,Q2
217,shivamogga district,210772,1104757,2019,karnataka,Q2
218,udupi district,163912,682081,2019,karnataka,Q2
219,gadag district,98493,600062,2019,karnataka,Q2
220,mysuru district,601068,15381179,2019,karnataka,Q3
221,chitradurga district,175696,3445767,2019,karnataka,Q3
222,kalaburagi district,306756,6218351,2019,karnataka,Q3
223,ramanagara district,205821,5830730,2019,karnataka,Q3
224,mandya district,234243,5402921,2019,karnataka,Q3
225,kodagu district,73300,1142114,2019,karnataka,Q3
226,chikkamagaluru district,140270,2245116,2019,karnataka,Q3
227,haveri district,138074,2239923,2019,karnataka,Q3
228,ballari district,376264,9897166,2019,karnataka,Q3
229,belagavi district,568340,10591496,2019,karnataka,Q3
230,kolar district,277877,7359399,2019,karnataka,Q3
231,uttara kannada district,177303,2570391,2019,karnataka,Q3
232,tumakuru district,366543,8373477,2019,karnataka,Q3
233,yadgir district,90633,1739841,2019,karnataka,Q3
234,bengaluru urban district,6383771,286764483,2019,karnataka,Q3
