,State name,Type,Count,Amount,Year,Quater
281,mizoram,TOTAL,125239,368689350.6344881,2019,Q4
282,chhattisgarh,TOTAL,16305758,27143788737.21397,2019,Q4
283,jammu & kashmir,TOTAL,489928,1929695997.8225975,2019,Q4
284,goa,TOTAL,1515272,2923460348.4994645,2019,Q4
285,arunachal pradesh,TOTAL,459475,1190573179.5272837,2019,Q4
286,delhi,TOTAL,80744997,129024467424.89062,2019,Q4
287,uttarakhand,TOTAL,7362116,12573706305.150612,2019,Q4
288,puducherry,TOTAL,1207921,2205277477.079584,2020,Q1
289,tamil nadu,TOTAL,66953473,116569686179.4346,2020,Q1
290,uttar pradesh,TOTAL,97239132,172416434960.69037,2020,Q1
291,madhya pradesh,TOTAL,79366746,126737281436.18526,2020,Q1
292,andhra pradesh,TOTAL,127677357,252737214289.0485,2020,Q1
293,tripura,TOTAL,924502,1588778806.3885012,2020,Q1
294,lakshadweep,TOTAL,5151,13502368.57450421,2020,Q1
295,manipur,TOTAL,818801,2598590380.8769474,2020,Q1
296,maharashtra,TOTAL,238944081,319995196718.0683,2020,Q1
297,dadra & nagar haveli & daman & diu,TOTAL,878579,1342763369.292519,2020,Q1
298,meghalaya,TOTAL,502283,1120134840.9078057,2020,Q1
299,andaman & nicobar islands,TOTAL,41298,161476312.2972747,2020,Q1
300,haryana,TOTAL,44036087,81976214558.24355,2020,Q1
301,rajasthan,TOTAL,102258812,190308238561.00217,2020,Q1
302,ladakh,TOTAL,116419,377639677.4457431,2020,Q1
303,punjab,TOTAL,15217784,31374185265.899654,2020,Q1
304,assam,TOTAL,8808860,20668428347.72898,2020,Q1
305,jharkhand,TOTAL,18282713,33611232153.269115,2020,Q1
306,odisha,TOTAL,53682307,91956798199.33679,2020,Q1
307,bihar,TOTAL,45081815,109256853527.24524,2020,Q1
308,kerala,TOTAL,15733522,26451084830.93425,2020,Q1
309,karnataka,TOTAL,271033890,353402054999.4004,2020,Q1
310,chandigarh,TOTAL,2262511,5126453070.016205,2020,Q1
311,telangana,TOTAL,199409525,371343780368.2118,2020,Q1
312,himachal pradesh,TOTAL,4144480,7419466751.122733,2020,Q1
313,west bengal,TOTAL,66250381,96653305190.9406,2020,Q1
314,gujarat,TOTAL,47326417,86995076621.90231,2020,Q1
315,sikkim,TOTAL,528118,1053476271.9444009,2020,Q1
316,nagaland,TOTAL,378051,894780028.7343724,2020,Q1
317,mizoram,TOTAL,153609,392077579.3496374,2020,Q1
318,chhattisgarh,TOTAL,19523991,32860597671.356686,2020,Q1
319,jammu & kashmir,TOTAL,921630,2937643176.534005,2020,Q1
320,goa,TOTAL,1881237,3410371231.9237647,2020,Q1
321,arunachal pradesh,TOTAL,567175,1381758681.3301477,2020,Q1
322,delhi,TOTAL,81747604,133616543642.58943,2020,Q1
323,uttarakhand,TOTAL,9131784,16158080258.987526,2020,Q1
324,puducherry,TOTAL,1033383,1960030980.4875922,2020,Q2
325,tamil nadu,TOTAL,51870110,95826508896.84135,2020,Q2
326,uttar pradesh,TOTAL,100851965,178744016130.31216,2020,Q2
327,madhya pradesh,TOTAL,76340573,147922015289.08447,2020,Q2
328,andhra pradesh,TOTAL,144917855,302583689746.5449,2020,Q2
329,tripura,TOTAL,1052520,1769175883.585958,2020,Q2
330,lakshadweep,TOTAL,7220,16942922.08594439,2020,Q2
331,manipur,TOTAL,1083068,3198936212.8055243,2020,Q2
332,maharashtra,TOTAL,184790761,296359517159.41614,2020,Q2
333,dadra & nagar haveli & daman & diu,TOTAL,973152,1302376453.8880572,2020,Q2
334,meghalaya,TOTAL,635395,1153735154.3383913,2020,Q2
335,andaman & nicobar islands,TOTAL,62962,169645001.41414702,2020,Q2
