,State name,No of Registered User,Pincode,Year,Quater
231,null,423149,110059,2020,Q4
232,null,399638,560068,2020,Q4
233,null,365506,421302,2020,Q4
234,null,350832,500072,2020,Q4
235,null,336803,122001,2020,Q4
236,null,335783,110092,2020,Q4
237,null,288308,110086,2020,Q4
238,null,285544,560078,2020,Q4
239,null,283882,121004,2020,Q4
240,maharashtra,37077537,0,2021,Q1
241,uttar pradesh,29482075,0,2021,Q1
242,karnataka,24095832,0,2021,Q1
243,andhra pradesh,18363733,0,2021,Q1
244,rajasthan,17661088,0,2021,Q1
245,telangana,17149069,0,2021,Q1
246,west bengal,16808799,0,2021,Q1
247,tamil nadu,16632608,0,2021,Q1
248,madhya pradesh,14839427,0,2021,Q1
249,gujarat,14670126,0,2021,Q1
250,null,541127,201301,2021,Q1
251,null,454201,110059,2021,Q1
252,null,427525,560068,2021,Q1
253,null,396179,421302,2021,Q1
254,null,375272,500072,2021,Q1
255,null,361360,122001,2021,Q1
256,null,359376,110092,2021,Q1
257,null,310419,110086,2021,Q1
258,null,306230,121004,2021,Q1
259,null,305721,560078,2021,Q1
260,maharashtra,39664697,0,2021,Q2
261,uttar pradesh,31651894,0,2021,Q2
262,karnataka,25751023,0,2021,Q2
263,andhra pradesh,19620905,0,2021,Q2
264,rajasthan,18980985,0,2021,Q2
265,telangana,18306880,0,2021,Q2
266,west bengal,17979979,0,2021,Q2
267,tamil nadu,17804542,0,2021,Q2
268,madhya pradesh,15940935,0,2021,Q2
269,gujarat,15735981,0,2021,Q2
270,null,577428,201301,2021,Q2
271,null,485328,110059,2021,Q2
272,null,455417,560068,2021,Q2
273,null,424376,421302,2021,Q2
274,null,398987,500072,2021,Q2
275,null,385555,122001,2021,Q2
276,null,383095,110092,2021,Q2
277,null,332618,110086,2021,Q2
278,null,328000,121004,2021,Q2
279,null,325334,560078,2021,Q2
280,maharashtra,42581217,0,2021,Q3
281,uttar pradesh,34151882,0,2021,Q3
282,karnataka,27614221,0,2021,Q3
283,andhra pradesh,21059898,0,2021,Q3
284,rajasthan,20499465,0,2021,Q3
285,telangana,19615278,0,2021,Q3
286,west bengal,19323278,0,2021,Q3
287,tamil nadu,19127440,0,2021,Q3
288,madhya pradesh,17210233,0,2021,Q3
289,gujarat,16946761,0,2021,Q3
290,null,618043,201301,2021,Q3
291,null,520096,110059,2021,Q3
292,null,486170,560068,2021,Q3
293,null,456284,421302,2021,Q3
294,null,425197,500072,2021,Q3
295,null,412737,122001,2021,Q3
296,null,409520,110092,2021,Q3
297,null,357590,110086,2021,Q3
298,null,352312,121004,2021,Q3
299,null,346840,560078,2021,Q3
300,maharashtra,45482506,0,2021,Q4
301,uttar pradesh,36617655,0,2021,Q4
302,karnataka,29459646,0,2021,Q4
303,andhra pradesh,22489029,0,2021,Q4
304,rajasthan,21977202,0,2021,Q4
305,telangana,20917649,0,2021,Q4
306,west bengal,20644527,0,2021,Q4
307,tamil nadu,20433142,0,2021,Q4
308,madhya pradesh,18456243,0,2021,Q4
309,gujarat,18139201,0,2021,Q4
310,null,659549,201301,2021,Q4
311,null,555449,110059,2021,Q4
312,null,517115,560068,2021,Q4
313,null,488443,421302,2021,Q4
314,null,451595,500072,2021,Q4
315,null,440178,122001,2021,Q4
316,null,436075,110092,2021,Q4
317,null,382858,110086,2021,Q4
318,null,376910,121004,2021,Q4
319,null,368213,560078,2021,Q4
320,maharashtra,48227630,0,2022,Q1
321,uttar pradesh,38999692,0,2022,Q1
322,karnataka,31200349,0,2022,Q1
323,andhra pradesh,23857951,0,2022,Q1
324,rajasthan,23398857,0,2022,Q1
325,telangana,22150612,0,2022,Q1
326,west bengal,21919787,0,2022,Q1
327,tamil nadu,21667020,0,2022,Q1
328,madhya pradesh,19656147,0,2022,Q1
329,gujarat,19265314,0,2022,Q1
330,null,698600,201301,2022,Q1
331,null,588266,110059,2022,Q1
332,null,545827,560068,2022,Q1
333,null,518716,421302,2022,Q1
334,null,476073,500072,2022,Q1
335,null,465984,122001,2022,Q1
336,null,460951,110092,2022,Q1
337,null,406863,110086,2022,Q1
338,null,400283,121004,2022,Q1
339,null,388154,560078,2022,Q1
340,maharashtra,50802786,0,2022,Q2
341,uttar pradesh,41247289,0,2022,Q2
342,karnataka,32831447,0,2022,Q2
343,andhra pradesh,25157264,0,2022,Q2
344,rajasthan,24716181,0,2022,Q2
345,telangana,23314363,0,2022,Q2
346,west bengal,23124388,0,2022,Q2
347,tamil nadu,22829720,0,2022,Q2
348,madhya pradesh,20766417,0,2022,Q2
349,gujarat,20321596,0,2022,Q2
350,null,735907,201301,2022,Q2
351,null,619737,110059,2022,Q2
352,null,573310,560068,2022,Q2
353,null,547501,421302,2022,Q2
354,null,499269,500072,2022,Q2
355,null,490709,122001,2022,Q2
356,null,484816,110092,2022,Q2
357,null,429566,110086,2022,Q2
358,null,422488,121004,2022,Q2
359,null,407066,560078,2022,Q2
360,maharashtra,53432602,0,2022,Q3
361,uttar pradesh,43537920,0,2022,Q3
362,karnataka,34493994,0,2022,Q3
363,andhra pradesh,26496330,0,2022,Q3
364,rajasthan,26042948,0,2022,Q3
365,telangana,24506111,0,2022,Q3
366,west bengal,24372048,0,2022,Q3
367,tamil nadu,24019964,0,2022,Q3
368,madhya pradesh,21884220,0,2022,Q3
369,gujarat,21394721,0,2022,Q3
370,null,774591,201301,2022,Q3
371,null,652328,110059,2022,Q3
372,null,601656,560068,2022,Q3
373,null,577754,421302,2022,Q3
374,null,523196,500072,2022,Q3
375,null,516313,122001,2022,Q3
376,null,509260,110092,2022,Q3
377,null,453393,110086,2022,Q3
378,null,445822,121004,2022,Q3
379,null,428994,201009,2022,Q3
380,maharashtra,55954028,0,2022,Q4
381,uttar pradesh,45648650,0,2022,Q4
382,karnataka,36081698,0,2022,Q4
383,andhra pradesh,27778016,0,2022,Q4
384,rajasthan,27255927,0,2022,Q4
385,telangana,25656381,0,2022,Q4
386,west bengal,25536381,0,2022,Q4
387,tamil nadu,25136112,0,2022,Q4
388,madhya pradesh,22913924,0,2022,Q4
389,gujarat,22412353,0,2022,Q4
390,null,814008,201301,2022,Q4
391,null,685596,110059,2022,Q4
392,null,630255,560068,2022,Q4
393,null,608005,421302,2022,Q4
394,null,547282,500072,2022,Q4
395,null,542209,122001,2022,Q4
396,null,534009,110092,2022,Q4
397,null,477514,110086,2022,Q4
398,null,468607,121004,2022,Q4
399,null,451153,201009,2022,Q4
